timestamp,cpu_pct,mem_pct,latency_ms,error_rate,requests_per_sec
2024-06-01 00:00:00,40.96,65.41,7.3,0.0,125.0
2024-06-01 00:00:10,33.34,73.28,4.4,0.0,103.0
2024-06-01 00:00:20,42.77,46.81,40.5,0.0,131.0
2024-06-01 00:00:30,53.28,62.5,49.0,0.2025,120.0
2024-06-01 00:00:40,32.19,52.79,1.3,0.0,104.0
2024-06-01 00:00:50,32.19,54.1,110.1,0.0,132.0
2024-06-01 00:01:00,53.95,53.26,2.1,0.0,165.0
2024-06-01 00:01:10,44.21,51.09,31.2,0.0,115.0
2024-06-01 00:01:20,29.37,58.39,49.4,0.0,138.0
2024-06-01 00:01:30,41.51,51.35,81.9,0.0,88.0
2024-06-01 00:01:40,,60.16,50.1,0.0,96.0
2024-06-01 00:01:50,29.41,57.6,64.7,0.0,132.0
2024-06-01 00:02:00,37.9,56.09,16.6,0.0,157.0
2024-06-01 00:02:10,12.04,50.74,67.5,0.0,129.0
2024-06-01 00:02:20,14.3,53.39,3.3,0.0,112.0
2024-06-01 00:02:30,28.25,64.04,90.1,0.0,120.0
2024-06-01 00:02:40,22.85,62.01,31.7,0.0,89.0
2024-06-01 00:02:50,38.77,50.18,68.0,0.366,135.0
2024-06-01 00:03:00,24.1,58.79,24.1,0.0,142.0
2024-06-01 00:03:10,18.05,64.01,41.3,0.0,109.0
2024-06-01 00:03:20,52.59,44.64,29.9,0.0,108.0
2024-06-01 00:03:30,32.29,62.35,52.6,0.0,127.0
2024-06-01 00:03:40,35.81,52.7,3.4,0.0,109.0
2024-06-01 00:03:50,17.9,62.56,2.5,0.0,118.0
2024-06-01 00:04:00,28.47,51.89,11.4,0.0,172.0
2024-06-01 00:04:10,36.33,43.56,7.0,0.0,114.0
2024-06-01 00:04:20,21.19,44.98,82.2,0.0,111.0
2024-06-01 00:04:30,39.51,58.38,9.9,0.0,104.0
2024-06-01 00:04:40,27.79,60.08,149.0,0.0,139.0
2024-06-01 00:04:50,31.5,50.77,16.4,0.0,115.0
2024-06-01 00:05:00,27.78,63.11,8.0,0.0,104.0
2024-06-01 00:05:10,57.23,44.71,62.4,0.0,153.0
2024-06-01 00:05:20,34.84,57.47,43.0,0.0,155.0
2024-06-01 00:05:30,22.31,48.31,27.6,0.0,105.0
2024-06-01 00:05:40,44.87,52.79,32.4,0.0,73.0
2024-06-01 00:05:50,20.35,58.38,50.8,0.0,145.0
2024-06-01 00:06:00,37.51,51.12,10.4,0.0,103.0
2024-06-01 00:06:10,11.48,54.92,224.3,0.0,140.0
2024-06-01 00:06:20,19.06,66.05,147.2,0.0,71.0
2024-06-01 00:06:30,37.36,53.38,42.0,0.0,142.0
2024-06-01 00:06:40,43.86,64.69,8.9,0.0,90.0
2024-06-01 00:06:50,37.06,48.96,45.6,0.0,138.0
2024-06-01 00:07:00,33.61,62.24,3.0,0.0,120.0
2024-06-01 00:07:10,31.39,69.53,1.2,0.0,96.0
2024-06-01 00:07:20,17.26,38.23,11.9,0.0,110.0
2024-06-01 00:07:30,26.36,51.62,24.8,0.0,137.0
2024-06-01 00:07:40,29.47,62.62,81.1,0.0,123.0
2024-06-01 00:07:50,47.69,56.38,52.0,0.0,135.0
2024-06-01 00:08:00,39.12,60.97,54.3,0.0,169.0
2024-06-01 00:08:10,13.84,53.17,22.2,0.0,81.0
2024-06-01 00:08:20,38.89,58.69,17.0,0.0,160.0
2024-06-01 00:08:30,30.38,56.75,18.5,0.0,123.0
2024-06-01 00:08:40,26.88,67.34,175.8,0.0,98.0
2024-06-01 00:08:50,42.34,60.04,1.6,0.0,87.0
2024-06-01 00:09:00,47.37,60.7,80.7,0.0,115.0
2024-06-01 00:09:10,46.18,54.7,34.6,0.0,143.0
2024-06-01 00:09:20,24.93,54.1,23.1,0.0,117.0
2024-06-01 00:09:30,31.29,54.54,51.7,0.0,158.0
2024-06-01 00:09:40,38.98,61.16,26.7,0.0,84.0
2024-06-01 00:09:50,46.71,54.63,82.7,0.0,120.0
2024-06-01 00:10:00,29.25,60.32,92.4,0.0,89.0
2024-06-01 00:10:10,32.77,74.6,21.9,0.0,129.0
2024-06-01 00:10:20,21.72,64.97,13.0,0.0,142.0
2024-06-01 00:10:30,20.65,55.39,35.9,0.0,109.0
2024-06-01 00:10:40,44.75,67.61,97.4,0.0,55.0
2024-06-01 00:10:50,51.27,54.74,9.5,0.0,125.0
2024-06-01 00:11:00,34.14,41.7,39.0,0.0,131.0
2024-06-01 00:11:10,47.04,49.94,39.9,0.0,130.0
2024-06-01 00:11:20,39.34,43.03,52.8,0.0,151.0
2024-06-01 00:11:30,27.26,55.19,5.6,0.0,93.0
2024-06-01 00:11:40,39.34,58.15,50.3,0.0,137.0
2024-06-01 00:11:50,53.46,71.41,95.9,0.0,150.0
2024-06-01 00:12:00,34.57,60.62,7.9,0.0,76.0
2024-06-01 00:12:10,53.78,56.25,10.8,0.0,128.0
2024-06-01 00:12:20,3.56,64.64,142.2,0.0,107.0
2024-06-01 00:12:30,44.86,40.31,8.0,0.0,118.0
2024-06-01 00:12:40,36.04,59.88,77.1,0.0,129.0
2024-06-01 00:12:50,31.41,64.17,27.1,0.0,108.0
2024-06-01 00:13:00,36.1,46.17,11.4,0.0,103.0
2024-06-01 00:13:10,11.15,67.15,81.8,0.0,121.0
2024-06-01 00:13:20,32.36,60.71,23.6,0.0,93.0
2024-06-01 00:13:30,39.29,54.68,28.9,0.0,93.0
2024-06-01 00:13:40,52.73,63.06,17.8,0.0,137.0
2024-06-01 00:13:50,28.78,76.17,36.0,0.0,91.0
2024-06-01 00:14:00,25.3,59.45,7.1,0.0,137.0
2024-06-01 00:14:10,28.98,59.99,19.8,0.0,132.0
2024-06-01 00:14:20,45.98,54.33,139.5,0.0,77.0
2024-06-01 00:14:30,38.95,51.2,11.9,0.0,103.0
2024-06-01 00:14:40,28.64,64.64,42.8,0.0,150.0
2024-06-01 00:14:50,41.16,51.15,15.7,0.0,95.0
2024-06-01 00:15:00,36.16,58.57,59.4,0.217,108.0
2024-06-01 00:15:10,46.62,54.18,5.6,0.0,132.0
2024-06-01 00:15:20,26.58,61.83,140.0,0.0,140.0
2024-06-01 00:15:30,31.07,60.67,24.2,0.0,114.0
2024-06-01 00:15:40,30.29,66.3,10.8,0.0,105.0
2024-06-01 00:15:50,17.44,53.92,3.1,0.0,156.0
2024-06-01 00:16:00,38.55,55.84,7.4,0.0,163.0
2024-06-01 00:16:10,38.13,50.17,29.3,0.0,144.0
2024-06-01 00:16:20,35.06,54.45,16.4,0.0,122.0
2024-06-01 00:16:30,32.18,61.02,70.6,0.0,100.0
2024-06-01 00:16:40,18.02,64.06,22.5,0.0,99.0
2024-06-01 00:16:50,29.95,50.62,11.4,0.0,133.0
2024-06-01 00:17:00,30.89,64.96,38.4,0.0,130.0
2024-06-01 00:17:10,25.37,68.85,49.1,0.0,155.0
2024-06-01 00:17:20,33.06,61.31,7.3,0.0,136.0
2024-06-01 00:17:30,39.85,73.01,7.3,0.0823,82.0
2024-06-01 00:17:40,57.63,51.81,1.5,0.0,146.0
2024-06-01 00:17:50,37.09,48.04,53.3,0.19,95.0
2024-06-01 00:18:00,38.09,43.77,43.6,0.0,110.0
2024-06-01 00:18:10,34.11,69.97,25.7,0.0,126.0
2024-06-01 00:18:20,11.97,63.23,74.4,0.0,170.0
2024-06-01 00:18:30,34.68,57.56,65.5,0.0,198.0
2024-06-01 00:18:40,35.72,60.24,35.2,0.0,135.0
2024-06-01 00:18:50,64.56,49.0,81.1,0.0,115.0
2024-06-01 00:19:00,32.69,77.57,9.2,0.0,133.0
2024-06-01 00:19:10,38.62,59.03,4.7,0.0,142.0
2024-06-01 00:19:20,34.58,58.88,12.6,0.0,112.0
2024-06-01 00:19:30,20.98,63.81,2.4,0.0,165.0
2024-06-01 00:19:40,48.71,61.85,30.3,0.0,126.0
2024-06-01 00:19:50,44.02,59.79,110.3,0.0,132.0
2024-06-01 00:20:00,44.49,51.68,1.6,0.0,137.0
2024-06-01 00:20:10,24.09,61.77,5.2,0.0,131.0
2024-06-01 00:20:20,51.83,73.06,24.1,0.0,141.0
2024-06-01 00:20:30,18.18,68.76,108.6,0.0,105.0
2024-06-01 00:20:40,42.04,70.75,15.2,0.0,106.0
2024-06-01 00:20:50,61.29,53.91,28.3,0.0605,92.0
2024-06-01 00:21:00,23.11,50.08,1.7,0.0,131.0
2024-06-01 00:21:10,28.2,56.99,6.4,0.0,139.0
2024-06-01 00:21:20,36.2,58.45,172.6,0.0,131.0
2024-06-01 00:21:30,28.96,66.75,134.2,0.0,162.0
2024-06-01 00:21:40,16.39,44.46,0.2,0.0,120.0
2024-06-01 00:21:50,35.82,70.24,121.3,0.0,137.0
2024-06-01 00:22:00,22.25,56.74,40.8,0.0,93.0
2024-06-01 00:22:10,40.68,54.58,81.0,0.0,110.0
